State Name,Univesity Name ,College/Stand Alone Institution
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Venkateswara College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Victoria College of Pharmacy, Nallapadu"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Venkateswara Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Prathidba Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Chirala College of PG Studies, Chirala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.S.N. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",NA
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",T.R.R. and S. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sadineni Chowdaraiah College of Arts and Science
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr. K.S.P.R College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",BMRM Jhansi B.Ed College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.H.H Degree College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Tiyyagura Sitarami Reddy Degree College, Piduguralla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr. Samuel George College of Pharmaceutical Science
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",P.N.C and K.R. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Nagarjuna Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Bapuji College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr. B.R.Ambedkar Centenary Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Government Degree College, Yerragondapalem"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Bapatla College of Arts and Science
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.V.K.P P.G College, Cumbum"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.M.P.A. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",N.N.S. Vidya College of P.G. Studies
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.G.K.M.College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.C.Evening College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.B.R College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",T.R.R. Govt. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Fatima College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.S.N Degree College, Podili"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sarada College of Pharmaceutical Sciences
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Mahatma Gandhi College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Govt. Degree College, Chebrolu"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",K R K Govt. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Govt. Degree College for Women, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Devathi Venkata Subbiah College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr. K.R.R.M. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Venkateswara College of Eduation, Besthavaripeta"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.V.R.M. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Gowtham Degree College, Kandulapuram"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Vasavi Degree College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",J.M.J. College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Raja Rajeswari College of Education, Giddalur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.M.G.College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Christu Jayanthi Jubilee College (P.G.)
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Geethika B.Ed College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.N.B.T.M. College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Priya Darisini Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Venkateswara Degree College, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Chaitanya College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Andhra Muslim College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St. Ignatious Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Yaswanth College of Education,Bestavaripeta"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",M.L. College of MBA
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Gayatri Vidya Parishad Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Prabhala Lakshminarayana Memorial Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","B.G Degree College, Sattenapalli"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Pratap College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",J.K.C. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Aazad College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Sadhana Degree College, Markapur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",P.B.N. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.C.K.V.N. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",J.R.R Navodaya Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.B.Swamy Sanskrit College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Vellanki College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr.K.V.K. Sanskrit College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.K.B.R. Govt. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Pratibha Degree College, Ongole"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",K.S.R and K.R.K College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",SIMS College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Repalle Christian College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Abhinav Institute of Management and Technology
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.S.M and A.W. D Women's Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Harshini Degree College, Martur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",M.G College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Lakshmi Narsimha College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Andhra Kesari College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","A.S.N Pharmacy College, Tenali"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Shams-Ul-Uloom College of Education, Podili"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Mittapalli Lakshmaiah and Sons Degree College, Piduguralla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vagdevi College of Pharmacy, Gurazala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",C.I.L.For Rural Management
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Alpha Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Vyshnavi College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Morning Star College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",V.S.R. and N.V.R. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Vijayateja Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Smt. Koonapareddy Prameela Rani Degree College, Parchoor"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St Mark NTR College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vivekananda College of Education, Kandukur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","D.S.Govt. Degree College for Women, Ongole"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St. Paul's College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.V.R and S College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Bapatla Engineering College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","St. Theressa Degree College - Hotel Management, Tenali"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Matrusri Oriental College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sriji Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.M.G.Degree College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Prasannanjaneya Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr. Zakir Hussain College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",P.S.B. College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Vasavi Kanyaka Parameswari Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.V.R.S Institute for Professional Studies
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Ravindra Bharathi College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Mother Theresa Womens Degree College, Karampudi"
