Institute Name,Course Name
,- 3D Animation – Maya Certificate
,- Video & Audio Editing Certificate
,- Degree in Games Design & Development
,- Bachelor of Arts in Digital Film & Sound
,- Diploma in Recording Arts (Audio Engineering)
,- Diploma in Games Design & Development
,- Certificate Course in Television Production
,
Guru Nanak Girls College,- B.Sc. (Biotechnology)
,- B.Sc. (Bioinformatics)
,- Bacholer of Computer Application
,- Bachelor of Business Administration
,- B.Sc. (Microbiology)
,- Master of Business Economics
,- M. Sc. Physics
,- M.A. (History)
,- PG Diploma. in Computer Applications
,- B.Sc. (Fashion Designing)
,- B.Com
,- M. Sc. (Chemistry)
,- M.Sc. (Mathematics)
,- M.Sc. (I.T.)
,- M. Com
,- M.A. (English)
,- M.A. Sociology
,- B. Sc. (Medical)
,- M.A. (Punjabi)
,- PG Diploma. in Mass Communication
,- B.Sc. (Non Medical)
,- M.A. (Political Science)
,- Bachlor Of Art
,- PG Diploma. in Personnel Mgt.& Labour Welfare
,
Purple Rose Arts & Media Institute,- Modeling & Fashion Modeling
,- TV Production / Direction
,- M.A (Mass Communication)
,- Fashion & Lifestyle Journalism
,- Post Graduation Diploma in Advertising & Public Relation
,"- Anchoring, Reporting & News Reading"
,- Acting / Video Jockey (VJ)
,- B.A (Mass Communication)
,- Post Graduation Diploma in Mass Communication
,- Video Editing (Multi-Software)
,- Graphic Designing & Animation
,- Camera & Lighting (Multi set-up)
,
University of Delhi,- Bachelor of Arts (Honours) Hindi
,- Bachelor of Arts (Honours) Journalism
,- Bachelor of Arts (Honours) Mathematics
,- Bachelor of Arts (Honours) Political Science
,- Bachelor of Engineering (Computer Engineering)
,- Bachelor of Engineering (Electrical Engineering)
,- Bachelor of Engineering (Electronics & Communication Engineering)
,- Bachelor of Engineering (Environmental Engineering)
,- Bachelor of Engineering (Information Technology)
,- Bachelor of Engineering (Polymer Science & Chemical Technology)
,- Bachelor of Science (Honours) Bio-Chemistry
,- Bachelor of Science (Honours) Botany
,- Bachelor of Ayurvedic Medicine & Surgery
,- Master of Law
,- Master of Arts (Economics)
,- Master of Arts (Hindi)
,- Master of Arts (History)
,- Master of Arts (Sanskrit)
,- Master of Arts (Statistics)
,- Master of Commerce
,- Master Of Engineering (Electronics & Communication )
,- Master Of Engineering (Environmental Engineering)
,- Master Of Engineering (Production Engineering)
,- Master Of Science (Electronics)
,- Master Of Science (Mathematics)
,- Master Of Science (Nursing)
,- Bachelor of Arts (Honours) Economics
,- Bachelor of Arts (Honours) Social Work
,- Bachelor of Arts (Management & Marketing of Insurance)
,- Bachelor of Arts (Marketing Management & Retail Business)
,- Bachelor of Arts (Office Administration & Secretarial Practice)
,- Bachelor of Arts (Programme)
,- Bachelor of Engineering (Mechanical Engineering)
,- Bachelor of Engineering (Production & Industrial Engineering)
,- Bachelor of Education
,- Bachelor of Elementary Education
,- Bachelor of Pharmacy
,- Bachelor of Science (Honours) Electronics
,- Bachelor of Technology (Electrical Engineering)
,- Bachelor of Technology (Mechanical Engineering )
,- Bachelor of Law
,- Master Of Science (Computer Science)
,- Master Of Science (Bio Medical Science )
,- Master Of Science (Statistics)
,- Bachelor of Commerce (Pass)
,- Bachelor of Engineering (Instrumentation & Control Engineering)
,- Bachelor of Science (Honours) Computer Science
,- Bachelor of Unani Medicine & Surgery
,- Master of Computer Application
,- Master Of Engineering (Computer Technology & Applications)
,- Master Of Engineering (Control & Instrumentation)
,- Master Of Science (Chemistry)
,- Master Of Science (Physics)
,- Bachelor of Arts (Honours) Philosophy
,- Bachelor of Arts (Honours)Sociology
,- Bachelor of Arts (Human Resourse Management)
,- Bachelor of Engineering (Manufacturing Process & Automation Engineering)
,- Bachelor of Science (Honours) Biomedical Sciences
,- Bachelor of Science (Honours) Chemistry
,- Bachelor of Science (Honours) Mathematics
,- Bachelor of Science (Honours) Physics
,- Bachelor of Technology (Civil Engineering)
